Peak #,Ret. Time,Letter,Type,Width,Area,Start Time,End Time,Sample Number,Treatment,File Name,Leaf Area,Compound Name,Tetralin Corrected,Leaf Area Corrected,Plant Volume,Water Status,Average 48 Hour Temp,Max 48 Hour Temp,Average 48 Hour Humidity,,Site,Date
3,14.967,,PV  ,0.041,40941196,14.867,15.043,192,Control,TIC: 0218201402.D,22.5,,0.78907292,0.035069908,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
4,17.727,,VV  ,0.026,51885187,17.673,17.797,192,Control,TIC: 0218201402.D,22.5,Tetralin,1,0.044444444,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
5,18.329,,BV  ,0.02,1008081,18.294,18.375,192,Control,TIC: 0218201402.D,22.5,,0.019429071,0.000863514,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
6,18.781,,PV  ,0.018,1040884,18.741,18.791,192,Control,TIC: 0218201402.D,22.5,,0.020061294,0.000891613,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
7,18.808,,VV  ,0.022,2054514,18.791,18.865,192,Control,TIC: 0218201402.D,22.5,,0.039597313,0.001759881,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
8,18.901,,VV  ,0.025,3496123,18.865,18.944,192,Control,TIC: 0218201402.D,22.5,,0.06738191,0.002994752,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
9,18.995,,VV  ,0.022,7016503,18.944,19.032,192,Control,TIC: 0218201402.D,22.5,,0.135231333,0.006010281,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
10,19.183,,PV  ,0.019,7578979,19.147,19.209,192,Control,TIC: 0218201402.D,22.5,,0.146072115,0.006492094,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
11,19.225,,VV  ,0.016,753061,19.209,19.24,192,Control,TIC: 0218201402.D,22.5,,0.014513988,0.000645066,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
12,20.645,,PV  ,0.018,1655382,20.623,20.669,192,Control,TIC: 0218201402.D,22.5,,0.031904713,0.001417987,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
13,20.687,,VV  ,0.016,2062635,20.669,20.712,192,Control,TIC: 0218201402.D,22.5,,0.039753832,0.001766837,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
14,20.735,,VV  ,0.016,3415620,20.712,20.756,192,Control,TIC: 0218201402.D,22.5,,0.06583035,0.002925793,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
15,21.274,,VV  ,0.018,1167713,21.252,21.298,192,Control,TIC: 0218201402.D,22.5,,0.022505711,0.001000254,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
16,21.553,,PB  ,0.019,1284008,21.507,21.612,192,Control,TIC: 0218201402.D,22.5,,0.024747102,0.001099871,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
17,21.722,,VV  ,0.023,2301791,21.683,21.783,192,Control,TIC: 0218201402.D,22.5,,0.044363163,0.001971696,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
18,21.848,,VV  ,0.016,5017877,21.826,21.877,192,Control,TIC: 0218201402.D,22.5,,0.096711167,0.004298274,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
19,22.28,,VV  ,0.028,2836671,22.172,22.345,192,Control,TIC: 0218201402.D,22.5,,0.054672078,0.00242987,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
20,22.539,,BV  ,0.026,10711464,22.47,22.574,192,Control,TIC: 0218201402.D,22.5,,0.206445512,0.009175356,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
21,22.699,,BV  ,0.019,1140720,22.67,22.752,192,Control,TIC: 0218201402.D,22.5,,0.021985466,0.000977132,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
22,23.84,,PV  ,0.043,2089887,23.778,23.913,192,Control,TIC: 0218201402.D,22.5,,0.040279068,0.001790181,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
23,25.084,,PBA ,0.022,14277068,24.976,25.172,192,Control,TIC: 0218201402.D,22.5,,0.275166552,0.012229625,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
1,14.775,,BV  ,0.043,64201246,14.638,14.886,189,High,TIC: 0218201404.D,79.2,,0.987197587,0.012464616,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
2,14.972,,PB  ,0.043,66270813,14.886,15.062,189,High,TIC: 0218201404.D,79.2,,1.019020514,0.012866421,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
3,16.587,,BB  ,0.032,1641700,16.497,16.654,189,High,TIC: 0218201404.D,79.2,,0.025243782,0.000318735,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
4,17.728,,VV  ,0.026,65033836,17.67,17.8,189,High,TIC: 0218201404.D,79.2,Tetralin,1,0.012626263,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
5,18.329,,BB  ,0.02,1572074,18.294,18.366,189,High,TIC: 0218201404.D,79.2,,0.02417317,0.000305217,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
6,18.806,,VV  ,0.019,2262404,18.779,18.844,189,High,TIC: 0218201404.D,79.2,,0.034788106,0.000439244,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
7,18.9,,VV  ,0.022,4026023,18.876,18.941,189,High,TIC: 0218201404.D,79.2,,0.06190659,0.000781649,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
8,18.994,,VB  ,0.021,8041895,18.941,19.081,189,High,TIC: 0218201404.D,79.2,,0.123657091,0.001561327,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
9,19.183,,BV  ,0.019,9448226,19.128,19.22,189,High,TIC: 0218201404.D,79.2,,0.145281696,0.001834365,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
10,20.334,,BV  ,0.002,141602,20.21,20.349,189,High,TIC: 0218201404.D,79.2,,0.002177359,2.74919E-05,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
11,21.217,,PV  ,0.018,2790039,21.178,21.252,189,High,TIC: 0218201404.D,79.2,,0.042901344,0.000541684,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
12,21.275,,VV  ,0.016,1979204,21.252,21.298,189,High,TIC: 0218201404.D,79.2,,0.03043345,0.000384261,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
13,21.769,,PV  ,0.016,1028060,21.744,21.791,189,High,TIC: 0218201404.D,79.2,,0.015808079,0.000199597,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
14,22.539,,BV  ,0.024,9763062,22.513,22.569,189,High,TIC: 0218201404.D,79.2,,0.150122807,0.00189549,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
15,22.699,,BV  ,0.018,1989887,22.675,22.733,189,High,TIC: 0218201404.D,79.2,,0.030597718,0.000386335,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
16,23.3,,BV  ,0.018,2315366,23.266,23.338,189,High,TIC: 0218201404.D,79.2,,0.035602482,0.000449526,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
17,25.085,,BBA ,0.024,1442711,25.044,25.17,189,High,TIC: 0218201404.D,79.2,,0.022184006,0.000280101,63480,,70.57,88.167,74.5,,ToadPond2,8/18/12
1,14.772,,BV  ,0.041,46226150,14.686,14.876,181,Low,TIC: 0218201403.D,49,,0.875065472,0.017858479,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
2,14.968,,PB  ,0.041,48622809,14.876,15.096,181,Low,TIC: 0218201403.D,49,,0.920434458,0.018784377,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
3,17.65,,BV  ,0.023,1148273,17.569,17.677,181,Low,TIC: 0218201403.D,49,,0.021736918,0.000443611,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
4,17.727,,VV  ,0.026,52825933,17.677,17.808,181,Low,TIC: 0218201403.D,49,Tetralin,1,0.020408163,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
5,18.808,,BV  ,0.02,1773454,18.733,18.831,181,Low,TIC: 0218201403.D,49,,0.033571655,0.000685136,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
6,18.853,,VV  ,0.023,2112300,18.831,18.878,181,Low,TIC: 0218201403.D,49,,0.039986042,0.000816042,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
7,18.901,,VV  ,0.024,3281114,18.878,18.945,181,Low,TIC: 0218201403.D,49,,0.062111804,0.001267588,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
8,18.994,,VB  ,0.021,5904377,18.945,19.071,181,Low,TIC: 0218201403.D,49,,0.111770425,0.002281029,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
9,19.183,,BB  ,0.019,7292682,19.147,19.252,181,Low,TIC: 0218201403.D,49,,0.138051173,0.002817371,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
10,19.788,,PV  ,0.025,1506036,19.753,19.872,181,Low,TIC: 0218201403.D,49,,0.028509407,0.000581825,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
11,21.216,,PV  ,0.018,9181614,21.097,21.248,181,Low,TIC: 0218201403.D,49,,0.173808837,0.003547119,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
12,21.275,,VV  ,0.016,15509603,21.248,21.306,181,Low,TIC: 0218201403.D,49,,0.293598279,0.005991802,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
13,22.305,,VV  ,0.022,2377352,22.24,22.37,181,Low,TIC: 0218201403.D,49,,0.045003502,0.000918439,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
14,22.54,,PV  ,0.016,3700984,22.452,22.576,181,Low,TIC: 0218201403.D,49,,0.070059984,0.001429796,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
15,22.698,,PV  ,0.017,3894030,22.675,22.731,181,Low,TIC: 0218201403.D,49,,0.073714363,0.001504375,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
16,23.3,,BV  ,0.019,1351917,23.27,23.342,181,Low,TIC: 0218201403.D,49,,0.025591919,0.000522284,25752,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
1,14.774,,BB  ,0.042,52878473,14.667,14.876,185,Control,TIC: 0218201405.D,38.95,,0.788700533,0.020249051,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
2,14.971,,BB  ,0.041,53943405,14.876,15.067,185,Control,TIC: 0218201405.D,38.95,,0.804584359,0.020656851,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
3,17.729,,PV  ,0.026,67045058,17.679,17.802,185,Control,TIC: 0218201405.D,38.95,Tetralin,1,0.025673941,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
4,18.807,,BV  ,0.021,1910262,18.733,18.854,185,Control,TIC: 0218201405.D,38.95,,0.028492212,0.000731507,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
5,18.901,,VV  ,0.021,3051634,18.854,18.945,185,Control,TIC: 0218201405.D,38.95,,0.045516166,0.001168579,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
6,18.995,,VB  ,0.02,6199892,18.945,19.066,185,Control,TIC: 0218201405.D,38.95,,0.092473512,0.002374159,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
7,19.184,,BB  ,0.019,8299112,19.076,19.281,185,Control,TIC: 0218201405.D,38.95,,0.123784098,0.003178026,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
8,21.275,,PV  ,0.016,1065536,21.248,21.303,185,Control,TIC: 0218201405.D,38.95,,0.015892834,0.000408032,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
9,22.539,,BV  ,0.023,1382724,22.484,22.579,185,Control,TIC: 0218201405.D,38.95,,0.020623802,0.000529494,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
10,25.086,,BB  ,0.024,1565341,25.063,25.172,185,Control,TIC: 0218201405.D,38.95,,0.023347597,0.000599425,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
1,14.773,,BB  ,0.042,58230434,14.657,14.886,186,Control,TIC: 0218201409.D,38.95,,1.068382933,0.0274296,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
2,14.972,,BB  ,0.043,59029782,14.895,15.081,186,Control,TIC: 0218201409.D,38.95,,1.083048972,0.027806135,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
3,17.727,,VB  ,0.026,54503336,17.678,17.81,186,Control,TIC: 0218201409.D,38.95,Tetralin,1,0.025673941,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
4,18.806,,BV  ,0.02,1321354,18.737,18.857,186,Control,TIC: 0218201409.D,38.95,,0.024243544,0.000622427,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
5,18.9,,VV  ,0.02,2067891,18.857,18.939,186,Control,TIC: 0218201409.D,38.95,,0.037940632,0.000974086,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
6,18.994,,VB  ,0.02,4927739,18.939,19.052,186,Control,TIC: 0218201409.D,38.95,,0.090411695,0.002321225,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
7,19.183,,BB  ,0.019,6698833,19.114,19.257,186,Control,TIC: 0218201409.D,38.95,,0.122906844,0.003155503,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
8,21.275,,VB  ,0.016,3470902,21.248,21.34,186,Control,TIC: 0218201409.D,38.95,,0.063682377,0.001634978,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
9,22.54,,BV  ,0.016,2568833,22.503,22.572,186,Control,TIC: 0218201409.D,38.95,,0.047131665,0.001210056,22800,,74.32,96.289,69.74,,SouthForkNorth,8/18/12
1,11.09,,rBV,0.12,236978,11.031,11.151,14,Control,TIC: 0625201303.D,61.6,,0.084390659,0.001369978,43512,14,77.27,102.56,,,ToadPond2,7/16/12
2,12.66,,rBV,0.189,347690,12.582,12.771,14,Control,TIC: 0625201303.D,61.6,,0.123816507,0.002010008,43512,14,77.27,102.56,,,ToadPond2,7/16/12
3,13.25,,rBV,0.149,732458,13.183,13.331,14,Control,TIC: 0625201303.D,61.6,,0.260836927,0.004234366,43512,14,77.27,102.56,,,ToadPond2,7/16/12
4,13.48,,rBV,0.126,1518894,13.417,13.543,14,Control,TIC: 0625201303.D,61.6,,0.540896056,0.00878078,43512,14,77.27,102.56,,,ToadPond2,7/16/12
5,13.59,,rVV,0.126,1136540,13.543,13.669,14,Control,TIC: 0625201303.D,61.6,,0.40473529,0.006570378,43512,14,77.27,102.56,,,ToadPond2,7/16/12
6,14.05,,rBV,0.177,5844080,13.961,14.138,14,Control,TIC: 0625201303.D,61.6,,2.081145768,0.033784834,43512,14,77.27,102.56,,,ToadPond2,7/16/12
7,14.22,,rVV,0.126,812939,14.138,14.264,14,Control,TIC: 0625201303.D,61.6,,0.289497159,0.004699629,43512,14,77.27,102.56,,,ToadPond2,7/16/12
8,14.33,,rVB,0.183,6385032,14.264,14.447,14,Control,TIC: 0625201303.D,61.6,,2.273785151,0.036912097,43512,14,77.27,102.56,,,ToadPond2,7/16/12
9,14.61,,rVB,0.092,553678,14.567,14.659,14,Control,TIC: 0625201303.D,61.6,,0.197171262,0.003200832,43512,14,77.27,102.56,,,ToadPond2,7/16/12
10,14.95,,rBV,0.132,420745,14.865,14.996,14,Control,TIC: 0625201303.D,61.6,,0.149832254,0.002432342,43512,14,77.27,102.56,,,ToadPond2,7/16/12
11,15.05,,rBV,0.126,308148,14.996,15.122,14,Control,TIC: 0625201303.D,61.6,,0.109735135,0.001781415,43512,14,77.27,102.56,,,ToadPond2,7/16/12
12,15.24,,rBV,0.109,234459,15.168,15.277,14,Control,TIC: 0625201303.D,61.6,,0.083493613,0.001355416,43512,14,77.27,102.56,,,ToadPond2,7/16/12
13,16.01,,rVB,0.177,363824,15.946,16.124,14,Control,TIC: 0625201303.D,61.6,,0.129562015,0.002103279,43512,14,77.27,102.56,,,ToadPond2,7/16/12
14,17.34,,rBV,0.08,2808107,17.297,17.377,14,Control,TIC: 0625201303.D,61.6,Tetralin,1,0.016233766,43512,14,77.27,102.56,,,ToadPond2,7/16/12
15,18.06,,rVB,0.097,636481,18.029,18.126,14,Control,TIC: 0625201303.D,61.6,,0.226658386,0.003679519,43512,14,77.27,102.56,,,ToadPond2,7/16/12
16,18.49,,rBV,0.034,241664,18.475,18.51,14,Control,TIC: 0625201303.D,61.6,,0.086059399,0.001397068,43512,14,77.27,102.56,,,ToadPond2,7/16/12
17,18.53,,rVB,0.074,414848,18.51,18.584,14,Control,TIC: 0625201303.D,61.6,,0.147732262,0.002398251,43512,14,77.27,102.56,,,ToadPond2,7/16/12
18,18.66,,rBV,0.109,802840,18.584,18.693,14,Control,TIC: 0625201303.D,61.6,,0.285900787,0.004641247,43512,14,77.27,102.56,,,ToadPond2,7/16/12
19,18.72,,rVV,0.069,1266596,18.693,18.761,14,Control,TIC: 0625201303.D,61.6,,0.451049764,0.007322236,43512,14,77.27,102.56,,,ToadPond2,7/16/12
20,18.95,,rBV,0.08,1668946,18.905,18.985,14,Control,TIC: 0625201303.D,61.6,,0.594331341,0.009648236,43512,14,77.27,102.56,,,ToadPond2,7/16/12
21,20.5,,rVB,0.046,823248,20.478,20.524,14,Control,TIC: 0625201303.D,61.6,,0.293168316,0.004759226,43512,14,77.27,102.56,,,ToadPond2,7/16/12
22,20.56,,rVB,0.097,3422060,20.53,20.627,14,Control,TIC: 0625201303.D,61.6,,1.2186359,0.01978305,43512,14,77.27,102.56,,,ToadPond2,7/16/12
23,21.63,,rBV,0.063,350819,21.6,21.663,14,Control,TIC: 0625201303.D,61.6,,0.124930781,0.002028097,43512,14,77.27,102.56,,,ToadPond2,7/16/12
24,23.2,,rBV,0.126,443840,23.145,23.27,14,Control,TIC: 0625201303.D,61.6,,0.158056655,0.002565855,43512,14,77.27,102.56,,,ToadPond2,7/16/12
25,24.78,,rVB,0.109,658726,24.752,24.861,14,Control,TIC: 0625201303.D,61.6,,0.234580093,0.003808118,43512,14,77.27,102.56,,,ToadPond2,7/16/12
1,14.06,,rBV,0.172,7746629,13.961,14.132,15,Control,TIC: 0625201304.D,56.95,,2.629852067,0.046178263,43512,14,77.27,102.56,,,ToadPond2,7/16/12
2,14.34,,rBV,0.229,7721129,14.253,14.481,15,Control,TIC: 0625201304.D,56.95,,2.62119524,0.046026255,43512,14,77.27,102.56,,,ToadPond2,7/16/12
3,15.24,,rBV,0.166,310877,15.179,15.345,15,Control,TIC: 0625201304.D,56.95,,0.105537586,0.001853162,43512,14,77.27,102.56,,,ToadPond2,7/16/12
4,17.34,,rBV,0.08,2945652,17.297,17.377,15,Control,TIC: 0625201304.D,56.95,Tetralin,1,0.017559263,43512,14,77.27,102.56,,,ToadPond2,7/16/12
5,18.52,,rBV,0.137,552369,18.481,18.618,15,Control,TIC: 0625201304.D,56.95,,0.187520114,0.003292715,43512,14,77.27,102.56,,,ToadPond2,7/16/12
6,18.66,,rVV,0.063,705412,18.63,18.693,15,Control,TIC: 0625201304.D,56.95,,0.239475675,0.004205016,43512,14,77.27,102.56,,,ToadPond2,7/16/12
7,18.72,,rVB,0.132,1464228,18.693,18.824,15,Control,TIC: 0625201304.D,56.95,,0.497081122,0.008728378,43512,14,77.27,102.56,,,ToadPond2,7/16/12
8,18.95,,rBV,0.132,1950401,18.904,19.036,15,Control,TIC: 0625201304.D,56.95,,0.662128792,0.011626493,43512,14,77.27,102.56,,,ToadPond2,7/16/12
9,22.81,,rBV,0.206,500387,22.767,22.973,15,Control,TIC: 0625201304.D,56.95,,0.169873088,0.002982846,43512,14,77.27,102.56,,,ToadPond2,7/16/12
1,14.08,,rBV,0.172,11911399,13.972,14.144,16,High,TIC: 122007.D,105.6,,1.718506123,0.016273732,15360,14,77.72,102.56,,,ToadPond2,7/16/12
2,14.37,,rBV,0.206,13205616,14.264,14.47,16,High,TIC: 122007.D,105.6,,1.905228089,0.018041933,15360,14,77.72,102.56,,,ToadPond2,7/16/12
3,15.25,,rVB,0.143,885416,15.191,15.334,16,High,TIC: 122007.D,105.6,,0.127742578,0.001209684,15360,14,77.72,102.56,,,ToadPond2,7/16/12
4,15.86,,rBV,0.172,424953,15.752,15.924,16,High,TIC: 122007.D,105.6,,0.061309703,0.000580584,15360,14,77.72,102.56,,,ToadPond2,7/16/12
5,17.35,,rBV,0.132,6931252,17.297,17.428,16,High,TIC: 122007.D,105.6,Tetralin,1,0.009469697,15360,14,77.72,102.56,,,ToadPond2,7/16/12
6,17.68,,rBV,0.057,435524,17.646,17.703,16,High,TIC: 122007.D,105.6,,0.062834824,0.000595027,15360,14,77.72,102.56,,,ToadPond2,7/16/12
7,18.52,,rBV,0.08,1585807,18.481,18.561,16,High,TIC: 122007.D,105.6,,0.228790845,0.00216658,15360,14,77.72,102.56,,,ToadPond2,7/16/12
8,18.66,,rBV,0.057,1940159,18.63,18.687,16,High,TIC: 122007.D,105.6,,0.279914653,0.002650707,15360,14,77.72,102.56,,,ToadPond2,7/16/12
9,18.73,,rVB,0.114,3002733,18.687,18.802,16,High,TIC: 122007.D,105.6,,0.433216539,0.004102429,15360,14,77.72,102.56,,,ToadPond2,7/16/12
10,18.95,,rBV,0.097,4154094,18.893,18.99,16,High,TIC: 122007.D,105.6,,0.599328087,0.005675455,15360,14,77.72,102.56,,,ToadPond2,7/16/12
1,14.06,,rBV,0.183,10852692,13.944,14.127,17,High,TIC: 0625201301.D,47.74,,3.792993754,0.079451063,15360,14,77.72,102.56,,,ToadPond2,7/16/12
2,14.34,,rBV,0.229,10677832,14.247,14.476,17,High,TIC: 0625201301.D,47.74,,3.73188054,0.078170937,15360,14,77.72,102.56,,,ToadPond2,7/16/12
3,15.24,,rVB,0.172,386892,15.174,15.346,17,High,TIC: 0625201301.D,47.74,,0.135217966,0.002832383,15360,14,77.72,102.56,,,ToadPond2,7/16/12
4,17.34,,rBV,0.092,2861247,17.285,17.377,17,High,TIC: 0625201301.D,47.74,Tetralin,1,0.020946795,15360,14,77.72,102.56,,,ToadPond2,7/16/12
5,18.52,,rBV,0.143,389641,18.475,18.619,17,High,TIC: 0625201301.D,47.74,,0.136178736,0.002852508,15360,14,77.72,102.56,,,ToadPond2,7/16/12
6,18.66,,rVV,0.063,484310,18.63,18.693,17,High,TIC: 0625201301.D,47.74,,0.169265359,0.003545567,15360,14,77.72,102.56,,,ToadPond2,7/16/12
7,18.72,,rVB,0.166,1172376,18.693,18.859,17,High,TIC: 0625201301.D,47.74,,0.409743025,0.008582803,15360,14,77.72,102.56,,,ToadPond2,7/16/12
8,18.95,,rBV,0.137,1485113,18.905,19.042,17,High,TIC: 0625201301.D,47.74,,0.519043969,0.010872308,15360,14,77.72,102.56,,,ToadPond2,7/16/12
1,14.06,,rBV,0.166,9581563,13.966,14.132,18,High,TIC: 0625201308.D,76.23,,2.909425944,0.038166417,15360,14,77.72,102.56,,,ToadPond2,7/16/12
2,14.35,,rBV,0.235,9896655,14.252,14.487,18,High,TIC: 0625201308.D,76.23,,3.005103114,0.039421528,15360,14,77.72,102.56,,,ToadPond2,7/16/12
3,15.24,,rBV,0.16,388176,15.179,15.34,18,High,TIC: 0625201308.D,76.23,,0.117869008,0.001546229,15360,14,77.72,102.56,,,ToadPond2,7/16/12
4,17.34,,rBV,0.086,3293283,17.291,17.377,18,High,TIC: 0625201308.D,76.23,Tetralin,1,0.013118195,15360,14,77.72,102.56,,,ToadPond2,7/16/12
5,18.52,,rBV,0.155,497856,18.475,18.63,18,High,TIC: 0625201308.D,76.23,,0.151173161,0.001983119,15360,14,77.72,102.56,,,ToadPond2,7/16/12
6,18.66,,rBV,0.063,646346,18.63,18.693,18,High,TIC: 0625201308.D,76.23,,0.196261906,0.002574602,15360,14,77.72,102.56,,,ToadPond2,7/16/12
7,18.72,,rVB,0.132,1316577,18.693,18.824,18,High,TIC: 0625201308.D,76.23,,0.399776454,0.005244345,15360,14,77.72,102.56,,,ToadPond2,7/16/12
